Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	FlyBase	CStart	CStop	NumExons
chr2L	4333912	4345776	Atet	11864	+	NM_001103609	CG2969	4336673	4344480	7
chr2R	20757630	20759032	Atf-2	1402	+	NM_001038884	CG30420	20757732	20758931	2
chrX	1136772	1169317	Atf3	32545	-	NM_001272196	n/a	1140322	1145630	5
chr2R	1032237	1042261	Atf6	10024	+	NM_165423	CG3136	1035683	1041535	3
chr3L	12777528	12798216	Atg1	20688	-	NM_140344	CG10967	12778436	12797544	12
chr2R	3719675	3723023	Atg10	3348	+	NM_001103746	CG12821	3721442	3722083	4
chrX	18685700	18687550	Atg101	1850	+	NM_133098	CG7053	18685930	18686587	1
chr3L	12130066	12130659	Atg12	593	+	NM_140294	CG10861	12130115	12130575	3
chr3R	4175536	4178539	Atg13	3003	+	NM_141539	CG7331	4175855	4177427	1
chr3R	24942112	24944112	Atg14	2000	+	NM_143412	CG11877	24942189	24943835	3
chr3R	25653002	25660823	Atg16	7821	-	NM_001144652	n/a	25653281	25660567	10
chr3R	1495434	1505652	Atg17	10218	+	NM_141316	CG1347	1499430	1504523	6
chr3L	8180094	8184218	Atg18a	4124	+	NM_206301	CG7986	8180605	8183077	5
chr2L	21212321	21220572	Atg18b	8251	-	NM_001273738	n/a	21213065	21220297	4
chr3L	2774337	2780677	Atg2	6340	+	NM_001274412	n/a	2774692	2780413	2
chr3L	18741786	18743583	Atg3	1797	+	NM_140802	CG6877	18741917	18743486	4
chr2L	1080910	1085380	Atg4a	4470	+	NM_001272923	n/a	1081243	1082871	5
chr3R	11179441	11182646	Atg4b	3205	-	NM_142195	CG6194	11179991	11182350	6
chrX	7208654	7217803	Atg5	9149	-	NM_132162	CG1643	7209164	7217705	6
chr3R	19874901	19876504	Atg6	1603	-	NM_142952	CG5429	19874980	19876359	3
chr2R	14507970	14512549	Atg7	4579	-	NM_137506	CG5489	14508225	14512464	9
chrX	10658910	10662371	Atg8a	3461	-	NM_167245	CG32672	10659490	10662103	3
chr3R	13550131	13550785	Atg8b	654	-	NM_001316551	n/a	13550269	13550632	1
chr2R	12181904	12184737	Atg9	2833	+	NM_001274094	n/a	12182025	12184584	1
chr3L	21634094	21635699	Atox1	1605	+	NM_001275255	n/a	21634289	21635261	3
chr3R	16774435	16801961	Atpalpha	27526	+	NM_001275861	n/a	16789458	16799653	10
chr2R	10634866	10635720	AttA	854	+	NM_079021	CG10146	10634895	10635625	2
chr2R	10636727	10637670	AttB	943	+	NM_001169681	n/a	10636759	10637480	2
chr2R	9281209	9282172	AttC	963	+	NM_079005	CG4740	9281273	9282054	2
chr3R	13450989	13451808	AttD	819	+	NM_079667	CG7629	13451045	13451668	2
chr3R	1439079	1441661	Atu	2582	+	NM_079516	CG1433	1439183	1441592	4
chrX	6717236	6718236	Atx-1	1000	+	NM_132128	n/a	6717287	6718090	3
chr3R	11235172	11242999	Atx2	7827	+	NM_169658	CG5166	11237960	11241274	5
chr2L	2375840	2380506	Atxn7	4666	+	NM_134833	CG9866	2377201	2380177	3
chrX	12522402	12523673	Aven	1271	-	NM_001298233	n/a	12522587	12523536	2
chr3L	3846205	3861692	Awh	15487	+	NM_001274451	n/a	3846741	3860952	6
chr3R	25848563	25861033	Axn	12470	+	NM_170457	CG7926	25856672	25860036	13
chrX	16574121	16577928	Axs	3807	-	NM_057429	CG9703	16574300	16577473	8
chr2L	2365344	2370137	Axud1	4793	+	NM_001272999	n/a	2366320	2368981	3
chrX	17291510	17297311	B-H1	5801	+	NM_001272713	n/a	17291726	17295551	3
chrX	17208613	17218208	B-H2	9595	+	NM_001272712	n/a	17214791	17217333	4
chr2L	13500623	13549328	B4	48705	-	NM_001273516	n/a	13504503	13513293	7
chr3R	9487032	9492613	B52	5581	+	NM_176492	n/a	9487455	9489197	10
chr3R	11307627	11308626	B9d1	999	+	NM_142213	CG14870	11307728	11308572	2
chr2L	6127871	6130651	B9d2	2780	-	NM_001201775	n/a	6129886	6130550	3
chr3L	7119004	7121218	BBS1	2214	+	NM_139823	CG14825	7119025	7120988	3
chr2R	7023427	7026820	BBS4	3393	+	NM_136792	CG13232	7023432	7026766	10
chr2L	422872	425321	BBS8	2449	+	NM_134680	CG13691	423451	425291	4
chr3R	23747004	23748078	BCAS2	1074	-	NM_143339	CG4980	23747091	23747995	2
chrX	9250666	9252627	BCL7-like	1961	+	NM_132334	CG17252	9250952	9251714	2
chr2R	10657973	10660135	BEAF-32	2162	+	NM_079023	CG10159	10658090	10659912	2
chr2L	4641295	4642872	BG642163	1577	+	NM_001298675	n/a	4641312	4642618	2
chr3R	21632166	21632683	BG642167	517	+	NM_001043293	CG34103	21632188	21632642	2
chr3L	6225568	6226481	BG642312	913	-	NM_001043122	CG33943	6225723	6226021	3
chr3L	7231641	7233345	BHD	1704	+	NM_139833	CG8616	7231734	7233264	3
chr3L	8300244	8302041	BI-1	1797	-	NM_168262	CG7188	8300811	8301863	5
chr3R	20144721	20154341	BRWD3	9620	+	NM_170139	CG31132	20144836	20153911	15
chrX	10662604	10666187	BTBD9	3583	+	NM_001272502	n/a	10662753	10665105	4
chr2L	2752444	2757920	Bacc	5476	+	NM_001273031	n/a	2753414	2756294	4
chr2L	8494892	8496307	Bace	1415	-	NM_001298827	n/a	8495149	8496268	1
chr3L	16641541	16654715	Baldspot	13174	-	NM_140652	CG3971	16643174	16652511	5
chrX	9043341	9046009	Bap111	2668	+	NM_132302	CG7055	9043455	9045705	1
chr2R	2524016	2529863	Bap170	5847	+	NM_136372	CG3274	2524193	2529791	4
chr2R	13316857	13318468	Bap55	1611	-	NM_137365	CG6546	13316929	13318345	3
chrX	13051477	13053541	Bap60	2064	-	NM_078588	CG4303	13051730	13053406	3
chr3R	16943578	16944578	Bdbt	1000	-	NM_142686	CG17282	16943645	16944506	1
chr2L	2988115	2990075	Bem46	1960	+	NM_058024	CG18642	2988244	2989511	5
chr3R	5987185	5996209	Best1	9024	-	NM_001144561	n/a	5987706	5993041	7
chr3L	6239032	6249765	Best2	10733	-	NM_168162	CG10173	6239737	6246670	12
chr3L	15294014	15295885	Best3	1871	-	NM_168618	CG12327	15294055	15295840	4
chr3L	15292057	15294042	Best4	1985	+	NM_001104139	CG7259	15292088	15293992	6
chr3L	19254493	19255537	Bet1	1044	+	NM_168789	CG14084	19254849	19255203	2
chr3L	9431581	9435367	Bet3	3786	-	NM_140055	CG3911	9432064	9435262	3
chr3R	26005953	26007208	Bet5	1255	+	NM_143521	CG1359	26006077	26006719	3
chr3L	1639710	1640952	Bgb	1242	+	NM_001274342	n/a	1639994	1640756	1
chr2L	16042046	16048626	BicC	6580	+	NM_057517	CG4824	16044054	16048205	11
chr2L	17459604	17473215	BicD	13611	-	NM_001273601	n/a	17461725	17472324	8
chr3R	10489171	10490544	BigH1	1373	+	NM_142126	CG3509	10489312	10490468	2
chr3R	20957027	20962431	Bili	5404	+	NM_001170254	n/a	20958316	20961378	12
chr3R	12011877	12015286	Bin1	3409	-	NM_001316512	n/a	12011973	12012499	3
chr2L	9895286	9896104	Bka	818	+	NM_080128	CG4539	9895377	9896040	2
chr3L	5624082	5645194	Blimp-1	21112	+	NM_001300016	n/a	5637312	5641914	5
chr3R	7562531	7567505	Blm	4974	-	NM_079595	CG6920	7562747	7567379	4
chr2R	10488782	10489515	Blos1	733	+	NM_166060	CG30077	10488847	10489349	2
chr3L	11054670	11055315	Blos2	645	+	NM_140170	CG14145	11054738	11055218	1
chr3L	18863323	18863997	Blos3	674	+	NM_001104170	CG34255	18863407	18863952	3
chr3L	10872184	10873288	Blos4	1104	+	NM_140157	CG14149	10872269	10872833	2
chr3L	11714033	11721218	Bmcp	7185	+	NM_140244	CG7314	11714224	11715910	6
chr3L	22895011	22898570	BoYb	3559	+	NM_141173	CG11133	22895103	22898283	1
chr3L	14938598	14939225	BobA	627	-	NM_080348	CG12487	14938931	14939168	1
chr2R	3159779	3165606	Br140	5827	-	NM_001299226	n/a	3160776	3165387	4
chr2R	20413694	20417104	Brca2	3410	+	NM_138081	CG30169	20413823	20416858	3
chr3L	14965766	14966298	Brd	532	+	NM_057541	CG3096	14965838	14966084	1
chr3R	25049206	25051998	Brd8	2792	+	NM_143428	CG14514	25049291	25051910	1
chr3L	5782930	5787292	Bre1	4362	-	NM_001300021	n/a	5783644	5786945	4
chr3R	13200554	13217059	Brf	16505	-	NM_142359	CG31256	13201365	13216884	7
chrX	12802018	12803655	Brms1	1637	-	NM_132612	CG4400	12802376	12803470	3
chr3L	1647868	1648612	Bro	744	+	NM_057718	CG7960	1647904	1648546	1
chr3R	6137760	6157075	Bruce	19315	-	NM_001275531	n/a	6138365	6156909	33
chr2L	8083419	8116531	Bsg	33112	+	NM_164785	CG31605	8089663	8107884	7
chr2L	4683051	4684461	Bsg25A	1410	-	NM_078748	CG12205	4683223	4684373	2
chr2L	5271727	5278548	Bsg25D	6821	-	NM_001273164	n/a	5272677	5278189	8
chr3L	3148645	3158408	BtbVII	9763	+	NM_139517	CG14956	3149982	3157586	7
chrX	4664589	4665621	Bteb2	1032	-	NM_131957	CG2932	4664614	4665550	1
chrX	13506163	13507261	BthD	1098	+	NM_132675	CG11177	13506204	13507075	3
chr2L	8258372	8300746	Btk29A	42374	-	NM_001103651	CG8049	8260537	8298322	13
chrX	6111300	6113360	Btnd	2060	-	NM_132070	CG3599	6111512	6113327	2
chr2L	16743404	16753704	BuGZ	10300	+	NM_001273584	n/a	16743529	16749607	7
chr2L	5279052	5283283	Bub1	4231	+	NM_001298693	n/a	5279359	5282799	3
chr3R	25499728	25501143	Bub3	1415	-	NM_001300658	n/a	25499996	25501030	2
chr2R	1856603	1861890	BubR1	5287	-	NM_058034	CG7838	1856744	1861788	5
chr2R	7566996	7576062	Buffy	9066	+	NM_078978	CG8238	7574965	7576062	5
chr2L	10429919	10430918	Bug22	999	-	NM_135558	CG5343	10430058	10430714	2
chr3R	17595239	17596001	Burs	762	+	NM_142726	CG13419	17595272	17595916	3
chrX	18409460	18465759	Bx	56299	+	NM_001272759	n/a	18414862	18464969	5
chrX	8997902	9000637	Bx42	2735	-	NM_001272441	n/a	8998504	9000480	3
chrX	2500712	2502909	Bzd	2197	-	NM_080029	CG13761	2500858	2502700	5
chr3R	17325707	17338536	C15	12829	+	NM_057525	CG7937	17325979	17337972	4
chr2L	8943454	8951216	C1GalTA	7762	-	NM_164840	n/a	8943933	8945400	4
chrX	6674822	6697626	C3G	22804	-	NM_176694	n/a	6676386	6684255	14
chrX	10858064	10861167	C901	3103	-	NM_132445	CG1567	10858239	10860585	8
chr2L	13803625	13809994	CAH1	6369	+	NM_078837	CG7820	13803928	13809654	3
chr3L	12170700	12176447	CAH2	5747	+	NM_001274818	n/a	12174963	12175847	4
chr3R	4806581	4808515	CAHbeta	1934	+	NM_141592	CG11967	4806738	4808362	4
chr2R	6156520	6194529	CAP	38009	+	NM_136726	CG18408	6156552	6193818	14
chr3R	17609121	17648396	CASK	39275	-	NM_001170210	n/a	17612404	17646427	19
chrX	7231384	7236764	CBP	5380	+	NM_001272380	n/a	7231748	7236599	4
chr3R	18526303	18527806	CCAP	1503	-	NM_142826	CG4910	18526479	18527201	3
chr3R	21749220	21781992	CCAP-R	32772	-	NM_206574	CG33344	21750080	21767347	7
chr3L	11874483	11876646	CCDC151	2163	+	NM_140263	CG14127	11874483	11876646	6
chr2L	8041105	8041879	CCDC53	774	+	NM_135334	CG7429	8041148	8041798	3
chr3R	9918225	9922557	CCHa1	4332	-	NM_001104314	CG14358	9918357	9922381	4
chr2R	13534352	13552573	CCHa1-R	18221	-	NM_137397	CG30106	13535036	13541801	9
chr3R	9214780	9220919	CCHa2	6139	-	NM_142028	CG14375	9215394	9217662	4
chr2R	1938453	1956185	CCHa2-R	17732	+	NM_136355	CG14593	1950385	1956051	8
chrX	18601526	18620605	CCKLR-17D1	19079	-	NM_001103551	CG42301	18602696	18620605	6
chrX	18658515	18668060	CCKLR-17D3	9545	-	NM_001103553	CG32540	18658748	18667818	5
chrU	6306887	6307959	CCY	1072	+	NM_001316660	n/a	6306887	6307959	2
chr3R	3800130	3804150	CD98hc	4020	-	NM_001275426	n/a	3800340	3802785	7
chrX	922323	924589	CDC45L	2266	-	NM_130524	CG3658	922580	924360	2
chrX	11031891	11033722	CDK2AP1	1831	+	NM_001272510	n/a	11032089	11032977	1
chr3R	26285242	26291458	CDase	6216	+	NM_001276180	n/a	26288562	26291283	6
chr3R	24574105	24577383	CG10000	3278	-	NM_143373	CG10000	24574933	24577291	7
chr3R	7800877	7802919	CG10005	2042	-	NM_001275562	CG10005	7801713	7802810	4
chr3R	24433660	24460821	CG10011	27161	-	NM_143367	CG10011	24435116	24441748	6
chr3R	8149242	8150932	CG10013	1690	+	NM_141918	CG10013	8149372	8150770	1
chr3R	8048108	8049770	CG10014	1662	+	NM_141907	CG10014	8048204	8049684	4
chr2L	3730465	3753407	CG10019	22942	+	NM_001273073	CG10019	3745691	3752190	13
chr2L	19454255	19457723	CG10026	3468	+	NM_165301	CG10026	19456432	19457593	7
chr3R	3141445	3142929	CG10029	1484	-	NM_141459	CG10029	3141554	3142891	2
chr2L	3698450	3699092	CG10031	642	-	NM_134958	CG10031	3698585	3699040	2
chr3R	3097313	3098231	CG10032	918	+	NM_141457	CG10032	3097313	3098231	2
chr3R	8206590	8208413	CG10035	1823	-	NM_001300375	CG10035	8207452	8208382	2
chr3R	8174708	8176366	CG10038	1658	-	NM_169460	CG10038	8174801	8176177	6
chr3R	8176536	8177801	CG10041	1265	-	NM_141920	CG10041	8176608	8177740	2
chr3R	3075516	3077472	CG10050	1956	+	NM_141456	CG10050	3075599	3076417	2
chr2R	15251145	15254799	CG10051	3654	+	NM_137570	CG10051	15251810	15254718	7
chr3R	3072811	3073862	CG10053	1051	+	NM_001300277	CG10053	3072971	3073841	2
chr3R	3009822	3012395	CG10055	2573	-	NM_141446	CG10055	3010315	3012293	3
chr2R	15262817	15267679	CG10062	4862	+	NM_001274160	CG10062	15263413	15267551	10
chr3L	6964678	6965567	CG10063	889	-	NM_139811	CG10063	6964757	6965458	2
chr3L	6958359	6960997	CG10064	2638	-	NM_139808	CG10064	6958419	6960907	5
chr3R	2951992	2953749	CG10068	1757	-	NM_141438	CG10068	2952493	2953544	2
chr2R	15268047	15272470	CG10073	4423	+	NM_001274161	CG10073	15268075	15272397	11
chr3L	6950045	6951208	CG10075	1163	-	NM_139807	CG10075	6950102	6951121	4
chr3L	6942590	6949004	CG10077	6414	-	NM_139805	CG10077	6943429	6948488	5
chr2R	15273427	15276823	CG10081	3396	+	NM_001274162	CG10081	15273472	15276758	11
chr2R	17533681	17545440	CG10082	11759	+	NM_166466	CG10082	17537730	17544578	8
chr3R	3616354	3619205	CG10086	2851	+	NM_141479	CG10086	3616448	3618845	3
chr3L	13458651	13467887	CG10089	9236	-	NM_001274874	CG10089	13459957	13462256	8
chr3R	3712766	3715872	CG10092	3106	+	NM_001275422	CG10092	3712828	3714971	5
chr3R	8215887	8221702	CG10096	5815	-	NM_001316534	CG10096	8216627	8218216	8
chr3R	8215887	8221702	CG10097	5815	-	NM_001316536	CG10097	8219836	8221691	8
chr3R	2950269	2952225	CG10098	1956	+	NM_141437	CG10098	2950381	2951867	3
chr3L	6747116	6749597	CG10103	2481	-	NM_139801	CG10103	6747374	6749504	5
chr2R	10278200	10279714	CG10104	1514	+	NM_137117	CG10104	10278304	10279519	1
chr3L	13449307	13450338	CG10116	1031	-	NM_140395	CG10116	13449355	13450338	3
chr3R	8681265	8684968	CG10126	3703	-	NM_176487	CG10126	8681387	8684939	6
chr2R	10517414	10518528	CG10131	1114	+	NM_137130	CG10131	10517425	10518429	2
chr2L	19518823	19525453	CG10132	6630	+	NM_136135	CG10132	19520584	19525241	10
chr3L	13442286	13443383	CG10133	1097	-	NM_140394	CG10133	13442408	13443359	1
chr2L	19526685	19532985	CG10137	6300	+	NM_136137	CG10137	19526771	19532670	8
chr2R	10532774	10533849	CG10139	1075	+	NM_001299495	CG10139	10532902	10533592	3
chr3L	13432416	13433570	CG10140	1154	-	NM_140391	CG10140	13432456	13433535	4
chr3L	6484329	6488397	CG10144	4068	-	NM_139791	CG10144	6484417	6488290	4
chr3L	6479266	6481524	CG10147	2258	-	NM_001274548	CG10147	6480034	6481441	2
chr2R	10640841	10643793	CG10151	2952	-	NM_166067	CG10151	10640976	10643079	3
chr3L	13428779	13430236	CG10154	1457	-	NM_140389	CG10154	13428953	13430196	4
chr3L	6250522	6251860	CG10163	1338	-	NM_139785	CG10163	6250605	6251860	3
chr3R	19380044	19382665	CG10164	2621	-	NM_001170230	CG10164	19380568	19381729	2
chr2L	19526909	19530305	CG10165	3396	-	NM_001201921	CG10165	19527376	19528252	4
chr2L	19525433	19526368	CG10166	935	-	NM_136136	CG10166	19525473	19526324	3
chr3R	19362714	19364630	CG10168	1916	-	NM_142897	CG10168	19362760	19364443	2
chr3R	19358666	19360489	CG10170	1823	-	NM_142895	CG10170	19358766	19360445	2
chr3L	13379045	13381007	CG10171	1962	-	NM_168542	CG10171	13379814	13380874	3
chr3R	19347985	19356708	CG10175	8723	-	NM_001300557	CG10175	19348796	19354550	8
chr2L	18485416	18488021	CG10176	2605	+	NM_001273609	CG10176	18485967	18487198	3
chr3R	19345867	19347305	CG10177	1438	-	NM_142893	CG10177	19345929	19347165	1
chr2L	18509559	18513512	CG10178	3953	+	NM_001259150	CG10178	18511622	18513337	4
chr3R	19412841	19415541	CG10182	2700	-	NM_142901	CG10182	19412928	19415516	9
chr3R	19422282	19424756	CG10183	2474	-	NM_142903	CG10183	19422282	19424756	8
chr3R	19428228	19431217	CG10184	2989	-	NM_142904	CG10184	19428320	19430746	6
chr3R	11886310	11893316	CG10185	7006	-	NM_142264	CG10185	11886408	11893234	12
chr2L	19508952	19517204	CG10186	8252	-	NM_001144370	CG10186	19509158	19516492	17
chr2L	19502334	19508764	CG10188	6430	-	NM_001273659	CG10188	19503098	19508186	3
chr2L	19491646	19493253	CG10189	1607	-	NM_001273656	CG10189	19491675	19492893	2
chr2L	19488681	19490104	CG10194	1423	-	NM_136129	CG10194	19488807	19490071	4
chr2L	19482231	19484705	CG10195	2474	-	NM_001273654	CG10195	19483159	19484601	6
chr2R	10705361	10707492	CG10202	2131	-	NM_137148	CG10202	10705461	10707420	2
chr2R	10720336	10721456	CG10205	1120	+	NM_137149	CG10205	10720436	10721077	3
chr3R	19598719	19599849	CG10208	1130	-	NM_142929	CG10208	19598857	19599754	2
chr2R	10733568	10735871	CG10209	2303	-	NM_001274053	CG10209	10733835	10735707	3
chr2L	18517486	18531967	CG10211	14481	+	NM_001299114	CG10211	18518180	18531659	9
chr3R	19592240	19593210	CG10214	970	-	NM_142927	CG10214	19592484	19593120	1
chr3R	19586458	19588985	CG10217	2527	-	NM_170091	CG10217	19586702	19588827	5
chr3L	13404221	13405553	CG10222	1332	-	NM_001300131	CG10222	13404628	13405552	1
chr3L	6227422	6233168	CG10226	5746	-	NM_139783	CG10226	6227600	6232689	9
chr3R	19545064	19547347	CG10232	2283	-	NM_142918	CG10232	19545197	19547146	6
chr2L	19435849	19442727	CG10237	6878	-	NM_001259162	CG10237	19436145	19437834	6
chr3R	2203070	2205929	CG1024	2859	-	NM_001275386	CG1024	2204191	2205886	3
chr3R	19520942	19521967	CG10252	1025	-	NM_142914	CG10252	19521002	19521884	4
chr2R	10817587	10822366	CG10253	4779	-	NM_001202008	CG10253	10817742	10820484	6
chr3R	19514728	19520705	CG10254	5977	-	NM_170081	CG10254	19515250	19520170	10
chr2R	10829902	10831974	CG10257	2072	+	NM_137164	CG10257	10830456	10831838	4
chr2L	19582822	19583990	CG10262	1168	-	NM_136150	CG10262	19583025	19583927	2
chr3R	11869219	11870554	CG10264	1335	+	NM_142261	CG10264	11869338	11870439	3
chr2R	10879836	10881340	CG10265	1504	-	NM_206117	CG10265	10880397	10881256	3
chr2L	19579092	19580351	CG10268	1259	-	NM_136148	CG10268	19579457	19580130	2
chr3L	6171776	6174929	CG10274	3153	-	NM_001104055	CG10274	6172156	6174867	3
chr3R	1836294	1837654	CG10280	1360	-	NM_001260013	CG10280	1836294	1837654	2
chr2L	18472963	18484513	CG10283	11550	-	NM_001169536	CG10283	18473218	18483969	11
chr3R	2194686	2196837	CG10286	2151	+	NM_141392	CG10286	2194738	2196616	1
chr3L	6158015	6166980	CG10289	8965	-	NM_001274540	CG10289	6162900	6166536	11
chr3R	2168723	2169521	CG10298	798	+	NM_141386	CG10298	2168791	2169408	2
chr3R	19537248	19539035	CG10300	1787	+	NM_142917	CG10300	19537279	19538518	3
chr3R	19535879	19537060	CG10301	1181	+	NM_142916	CG10301	19535879	19536981	3
chr2R	17572787	17573706	CG10306	919	+	NM_137760	CG10306	17572880	17573615	2
chr2R	17576277	17577758	CG10307	1481	+	NM_137761	CG10307	17576547	17577692	3
chr3R	12176507	12182737	CG10311	6230	-	NM_001300435	CG10311	12176851	12178053	4
chr3R	12194576	12196255	CG10317	1679	-	NM_001144587	CG10317	12195207	12196053	3
chr2R	17522183	17525904	CG10321	3721	+	NM_001274195	CG10321	17522908	17525476	2
chr3R	12470793	12472726	CG10324	1933	-	NM_142314	CG10324	12470895	12472649	3
chr3R	12469326	12470893	CG10326	1567	+	NM_142313	CG10326	12469606	12470473	3
chr2R	19488436	19489296	CG10332	860	-	NM_137965	CG10332	19488798	19489255	3
chr2L	18606831	18609550	CG10333	2719	+	NM_136044	CG10333	18606923	18609455	2
chr2L	18689527	18690906	CG10336	1379	+	NM_136051	CG10336	18689793	18690717	2
chr2L	19545375	19546959	CG10337	1584	-	NM_136142	CG10337	19545804	19546811	3
chr2L	18695663	18698571	CG10338	2908	+	NM_001299127	CG10338	18696141	18697885	4
chr2R	19965756	19968050	CG10339	2294	-	NM_138037	CG10339	19965856	19967999	2
chr3R	12439119	12440113	CG10340	994	-	NM_142308	CG10340	12439177	12440070	2
chr2L	18698713	18700645	CG10341	1932	+	NM_001103708	CG10341	18698834	18700588	2
chr2L	18703472	18704454	CG10343	982	+	NM_136056	CG10343	18703552	18704336	3
chr2R	18313237	18314482	CG10344	1245	-	NM_166534	CG10344	18313708	18314418	3
chr3R	12422794	12430583	CG10345	7789	-	NM_142306	CG10345	12423021	12430046	7
chrX	11746724	11748964	CG10347	2240	-	NM_167310	CG10347	11746889	11748691	3
chr2L	18714452	18732524	CG10348	18072	-	NM_001299130	CG10348	18714829	18716452	2
chrX	11769338	11771201	CG10352	1863	-	NM_001272539	CG10352	11769615	11770935	6
chrX	11771769	11781195	CG10353	9426	-	NM_001272543	CG10353	11772775	11777619	11
chr3L	3615381	3616682	CG10357	1301	+	NM_139564	CG10357	3615393	3616549	4
chr3L	3612191	3615244	CG10359	3053	+	NM_001144409	CG10359	3612324	3615073	5
chr3L	11792047	11793961	CG10361	1914	-	NM_140252	CG10361	11792118	11793855	4
chrX	11820456	11824883	CG10362	4427	-	NM_132543	CG10362	11820781	11824546	8
chr3R	19549052	19557221	CG10365	8169	+	NM_206547	CG10365	19554578	19556952	5
chr2L	19584234	19586440	CG10366	2206	+	NM_136151	CG10366	19584345	19586226	3
chr3R	19593433	19594706	CG10375	1273	+	NM_001170233	CG10375	19593943	19594553	3
chr2L	18700605	18703105	CG10376	2500	-	NM_136055	CG10376	18701626	18702913	1
chr2L	18690903	18695602	CG10383	4699	-	NM_001299126	CG10383	18691116	18695124	4
chr2R	18342245	18360499	CG10384	18254	+	NM_001169783	CG10384	18347596	18358882	8
chr2R	1237981	1239477	CG10395	1496	+	NM_136323	CG10395	1238313	1239217	2
chr2L	6960376	6961653	CG10399	1277	+	NM_001298767	CG10399	6960442	6961473	2
chr3R	12280213	12281519	CG10405	1306	+	NM_001043252	CG10405	12280288	12281472	3
chr3R	11870468	11871852	CG10407	1384	-	NM_001275693	CG10407	11870580	11871631	4
chr2L	18599754	18605249	CG10413	5495	-	NM_001299119	CG10413	18600609	18604920	7
chr2R	1247835	1250609	CG10417	2774	-	NM_165430	CG10417	1248092	1250243	6
chr3L	12329775	12330336	CG10418	561	+	NM_140313	CG10418	12329814	12330226	3
chr3R	21059357	21061251	CG10420	1894	-	NM_143099	CG10420	21059766	21061119	2
chr3L	19089498	19090809	CG10424	1311	-	NM_140833	CG10424	19089751	19090732	2
chr3R	21086684	21088220	CG10425	1536	-	NM_143106	CG10425	21086977	21088122	3
chr3L	12270754	12274576	CG10426	3822	+	NM_140309	CG10426	12271759	12274133	5
chr2L	18948883	18950973	CG10428	2090	+	NM_136074	CG10428	18948997	18950924	4
chr2L	18974709	18978187	CG10431	3478	+	NM_136080	CG10431	18974776	18977122	3
chr2R	17493180	17495630	CG10433	2450	-	NM_001299754	CG10433	17493576	17494297	4
chr3R	3836628	3838923	CG10435	2295	-	NM_141502	CG10435	3836830	3838791	3
chr2R	16159157	16162004	CG10444	2847	-	NM_137621	CG10444	16159922	16161743	2
chr3R	3742320	3746021	CG10445	3701	-	NM_001260045	CG10445	3742649	3745734	5
chr2R	5595040	5596227	CG10459	1187	+	NM_136669	CG10459	5595075	5596044	1
chr2L	19732079	19735980	CG10462	3901	-	NM_001273669	CG10462	19732650	19735836	8
chr2L	19758878	19760986	CG10463	2108	+	NM_136156	CG10463	19758911	19760913	4
chr2R	1227210	1228500	CG10465	1290	-	NM_136321	CG10465	1227292	1228247	2
chr2L	19792103	19792782	CG10466	679	+	NM_001273672	CG10466	19792226	19792749	2
chr3L	6086303	6087847	CG10467	1544	-	NM_139769	CG10467	6086400	6087495	1
chr3L	6085287	6086413	CG10469	1126	-	NM_139768	CG10469	6085322	6086185	2
chr2L	19049075	19049884	CG10470	809	+	NM_136092	CG10470	19049174	19049834	3
chr3L	6054471	6056010	CG10472	1539	-	NM_139760	CG10472	6054517	6055993	3
chr2R	15172899	15174235	CG10474	1336	-	NM_137560	CG10474	15173077	15174103	2
chr2R	15172055	15172724	CG10476	669	-	NM_137559	CG10476	15172055	15172724	1
